file,status,stage,duration_years,method,rd_percent_per_year,rows_raw,rows_filtered,reason
multiyear1.csv,WARNING,done,8.684,YOY (energy-ratio),-0.4964,3386,330,YOY degradation rate = -0.496 %/yr (with caveats)
multiyear2.csv,GOOD,done,9.859,YOY (energy-ratio),-0.2829,3589,137,YOY degradation rate = -0.283 %/yr
multiyear3.csv,WARNING,done,15.422,YOY (energy-ratio),-0.5613,3559,558,YOY degradation rate = -0.561 %/yr (with caveats)
multiyear_compute_power_VxI_sys1429.csv,WARNING,done,1.673,LR,-0.8076,3499,786,LR degradation rate = -0.808 %/yr (with caveats)
multiyear_full_dcnaming_sys3.csv,WARNING,done,7.009,YOY (energy-ratio),-1.7994,1981,243,YOY degradation rate = -1.799 %/yr (with caveats)
multiyear_no_irradiance_sys1199.csv,WARNING,done,10.103,YOY,2.4735,1983,892,YOY degradation rate = 2.474 %/yr (with caveats)
multiyear_power_only_sys1265.csv,BLOCKED,filter,3.537,YOY,,3596,0,Only 0 row(s) survived filtering (need >= 20) -- not enough clean data to estimate degradation. Correctly refused rather than guessing.
my_01_csv_10.csv,WARNING,done,22.582,LR,-0.1619,1393,292,LR degradation rate = -0.162 %/yr (with caveats)
my_02_csv_1199.csv,WARNING,done,10.001,YOY,0.2011,782,347,YOY degradation rate = 0.201 %/yr (with caveats)
my_03_csv_1201.csv,WARNING,done,9.347,LR,23.1772,1429,108,LR degradation rate = 23.177 %/yr (with caveats)
my_04_csv_1203.csv,WARNING,done,9.32,LR,-1.0459,1431,336,LR degradation rate = -1.046 %/yr (with caveats)
my_05_csv_1204.csv,WARNING,done,7.023,YOY,-2.024,784,53,YOY degradation rate = -2.024 %/yr (with caveats)
my_06_csv_1208.csv,WARNING,done,9.714,YOY,-3.2929,1391,310,YOY degradation rate = -3.293 %/yr (with caveats)
my_07_csv_1214.csv,WARNING,done,3.693,YOY,-0.0962,1423,1414,YOY degradation rate = -0.096 %/yr (with caveats)
my_08_csv_1217.csv,WARNING,done,3.693,YOY,-0.0621,1421,1399,YOY degradation rate = -0.062 %/yr (with caveats)
my_09_csv_1219.csv,WARNING,done,3.693,YOY,-0.0427,1421,1395,YOY degradation rate = -0.043 %/yr (with caveats)
my_100_csv_1334.csv,WARNING,done,3.359,YOY (energy-ratio),0.0305,3586,27,YOY degradation rate = 0.030 %/yr (with caveats)
my_101_csv_1403.csv,WARNING,done,5.476,YOY (energy-ratio),-2.7995,3572,436,YOY degradation rate = -2.799 %/yr (with caveats)
my_102_csv_1420.csv,GOOD,done,4.901,YOY (energy-ratio),-2.2083,3600,500,YOY degradation rate = -2.208 %/yr
my_103_csv_1422.csv,WARNING,done,3.179,YOY (energy-ratio),-14.2044,3516,173,YOY degradation rate = -14.204 %/yr (with caveats)
my_104_csv_1423.csv,GOOD,done,7.247,YOY (energy-ratio),-0.8432,3494,899,YOY degradation rate = -0.843 %/yr
my_105_csv_1429.csv,WARNING,done,1.673,LR,-0.8076,3499,786,LR degradation rate = -0.808 %/yr (with caveats)
my_106_csv_2.csv,WARNING,done,9.947,YOY (energy-ratio),0.6575,3309,584,YOY degradation rate = 0.658 %/yr (with caveats)
my_107_csv_3.csv,WARNING,done,7.009,YOY (energy-ratio),-1.7994,1981,243,YOY degradation rate = -1.799 %/yr (with caveats)
my_108_csv_33.csv,GOOD,done,12.241,YOY (energy-ratio),-0.5192,3554,599,YOY degradation rate = -0.519 %/yr
my_109_csv_36.csv,WARNING,done,7.51,YOY (energy-ratio),6.8914,3515,32,YOY degradation rate = 6.891 %/yr (with caveats)
my_10_csv_1221.csv,WARNING,done,3.693,YOY,-0.1166,1421,1403,YOY degradation rate = -0.117 %/yr (with caveats)
my_110_csv_4.csv,WARNING,done,15.422,YOY (energy-ratio),-0.5613,3559,558,YOY degradation rate = -0.561 %/yr (with caveats)
my_111_csv_4901.csv,GOOD,done,3.603,YOY (energy-ratio),-0.7266,3593,367,YOY degradation rate = -0.727 %/yr
my_112_csv_4902.csv,WARNING,done,3.603,YOY (energy-ratio),-0.5921,3593,501,YOY degradation rate = -0.592 %/yr (with caveats)
my_113_csv_4903.csv,WARNING,done,3.603,YOY (energy-ratio),-1.0365,3592,450,YOY degradation rate = -1.036 %/yr (with caveats)
my_114_csv_50.csv,WARNING,done,200.846,YOY (energy-ratio),-5.3888,3549,387,YOY degradation rate = -5.389 %/yr (with caveats)
my_115_csv_51.csv,WARNING,done,28.657,YOY (energy-ratio),-1.8001,3537,613,YOY degradation rate = -1.800 %/yr (with caveats)
my_116_csv_35.csv,GOOD,done,9.782,YOY (energy-ratio),-0.9686,3584,142,YOY degradation rate = -0.969 %/yr
