time,p_mp_ref
2020-09-14 11:37:50.769231,229.13563177398652
2020-09-28 12:47:04.615385,227.57533579798093
2020-10-12 13:56:18.461538,226.36089598139645
2020-10-26 15:05:32.307692,227.0791874720439
2020-11-09 16:14:46.153846,225.84035084327832
2020-11-23 17:24:00.000000,224.43813710303198
2020-12-07 18:33:13.846154,223.47863947032894
2020-12-21 19:42:27.692308,222.7854644488611
2021-01-04 20:51:41.538462,220.98362791594317
2021-01-18 22:00:55.384615,227.62347853967947
2021-02-01 23:10:09.230769,230.34596572702787
2021-02-16 00:19:23.076923,229.64496296347053
2021-03-02 01:28:36.923077,230.02511391258227
2021-03-16 02:37:50.769231,231.26092363286912
2021-03-30 03:47:04.615385,232.02509602944414
2021-04-13 04:56:18.461538,231.1349199609422
2021-04-27 06:05:32.307692,231.81145836144805
2021-05-11 07:14:46.153846,232.24500958071297
2021-05-25 08:24:00.000000,233.21007481071635
2021-06-08 09:33:13.846154,232.02606356201898
2021-06-22 10:42:27.692308,232.01235810466784
2021-07-06 11:51:41.538462,231.8299302562115
2021-07-20 13:00:55.384615,232.47080897460253
2021-08-03 14:10:09.230769,230.94911191938124
2021-08-17 15:19:23.076923,229.86448623444662
2021-08-31 16:28:36.923077,229.52152267929537
2021-09-14 17:37:50.769231,228.8961691014536
2021-09-28 18:47:04.615385,229.72489187092302
2021-10-12 19:56:18.461538,229.93964203216132
2021-10-26 21:05:32.307692,228.1808581322792
2021-11-09 22:14:46.153846,226.63778414157912
2021-11-23 23:24:00.000000,225.33645670400315
2021-12-08 00:33:13.846154,228.38614578219116
2021-12-22 01:42:27.692308,228.4590359137351
2022-01-05 02:51:41.538462,227.81170304993842
2022-01-19 04:00:55.384615,228.44642981396566
2022-02-02 05:10:09.230769,227.91641369749837
2022-02-16 06:19:23.076923,228.22552551026868
2022-03-02 07:28:36.923077,227.96017053363204
2022-03-16 08:37:50.769231,227.96805555168015
2022-03-30 09:47:04.615385,229.50821024819402
2022-04-13 10:56:18.461538,229.13052545731563
2022-04-27 12:05:32.307692,228.8431482865277
2022-05-11 13:14:46.153846,229.02602796398168
2022-05-25 14:24:00.000000,228.4121230640093
2022-06-08 15:33:13.846154,228.28385613820032
2022-06-22 16:42:27.692308,228.2451704980787
2022-07-06 17:51:41.538462,229.1973803291692
2022-07-20 19:00:55.384615,230.9368089648683
2022-08-03 20:10:09.230769,230.25489514789817
2022-08-17 21:19:23.076923,229.19994962202054
2022-08-31 22:28:36.923077,228.85785500629382
2022-09-14 23:37:50.769231,227.89906707965275
2022-09-29 00:47:04.615385,226.86329453892654
2022-10-13 01:56:18.461538,226.15584104597977
2022-10-27 03:05:32.307692,226.3728768234997
2022-11-10 04:14:46.153846,226.8554802185581
2022-11-24 05:24:00.000000,225.730034026697
2022-12-08 06:33:13.846154,226.03932705492556
2022-12-22 07:42:27.692308,226.01457516037595
2023-01-05 08:51:41.538462,227.33411734567568
2023-01-19 10:00:55.384615,226.63272040641783
2023-02-02 11:10:09.230769,227.19803572703535
